,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
construct,0,0,0,27,41,91,127,131,209,249,297,304,389,440,560,717,757,854,1000,1101,1220,1517,1597,1829,2018,2241,2402,2423,2654,2745,2948,3169,3184,3187,3406,3797,4240,51871
shown,0,0,0,48,86,112,122,166,198,298,358,381,388,494,503,624,810,961,1179,1356,1536,1925,2012,2238,2486,2585,2668,2804,2903,2840,2874,3036,2990,2773,2802,2764,2396,51716
state,0,0,0,5,7,13,13,38,72,107,157,216,227,270,287,445,425,617,657,753,942,1336,1597,1925,1879,2277,2440,2673,2849,2744,3332,3597,3605,3884,3721,4139,4349,51598
establish,0,0,0,0,6,17,24,33,35,67,87,115,130,187,225,289,413,531,617,679,868,985,1124,1402,1670,1860,2102,2269,2417,2604,2927,3333,3336,3513,4205,5425,7892,51387
approximation,0,0,0,0,20,24,15,21,29,51,93,97,127,141,158,270,329,439,570,582,777,1078,1277,1548,1805,2059,2383,2636,2876,3040,3506,4046,3827,3822,4400,4611,4728,51385
error,0,0,0,0,6,0,0,0,0,13,29,33,40,60,94,172,275,483,591,595,745,916,1118,1507,1758,1979,2226,2407,2848,3145,3513,4069,3965,4067,4410,4866,5405,51335
algorithms,0,0,0,0,0,42,10,0,18,29,41,43,90,79,79,133,192,302,381,406,648,953,1140,1402,1912,1799,2137,2445,2552,2896,3647,4371,4278,4195,4612,4961,4621,50414
network,0,0,0,0,0,0,0,0,0,9,9,9,14,20,42,63,185,251,442,651,791,1313,1316,1706,1953,1862,2214,2586,3007,3026,3572,4226,4374,4110,4245,4407,3935,50338
symmetric,0,0,0,7,21,49,107,132,135,195,265,297,416,374,500,646,801,969,1070,1132,1297,1531,1721,1887,2119,2291,2409,2436,2680,2772,2789,3084,2857,2927,3175,3477,3707,50275
dynamics,0,0,13,10,0,14,19,31,43,75,125,143,164,213,275,325,390,478,633,750,770,1029,1441,1552,1573,1794,1998,2056,2403,2565,2966,3742,3807,3805,4158,5071,5841,50272
