,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
jump,0,0,0,0,0,0,0,0,0,6,9,13,7,25,33,36,33,35,49,18,29,37,59,30,51,25,46,54,56,651
quadratic,0,0,0,0,0,0,0,0,6,8,0,9,13,20,21,32,23,41,42,29,17,26,40,60,55,55,39,59,54,649
highfrequency,0,0,0,0,0,0,0,6,0,11,11,6,6,17,0,19,19,14,12,17,32,34,30,39,48,51,85,77,114,648
generated,0,0,0,0,0,0,0,0,0,10,10,9,12,21,13,16,16,22,19,29,19,27,36,58,67,52,61,76,75,648
trades,0,0,0,0,0,0,11,16,8,11,0,20,0,15,27,29,13,27,20,37,36,35,28,53,40,36,55,53,76,646
suggests,0,0,0,0,0,0,6,6,6,7,7,12,15,6,15,10,12,19,16,25,21,20,41,56,52,53,68,89,82,644
contrast,0,0,0,0,0,0,0,0,0,5,8,7,11,9,15,20,19,17,21,21,28,29,32,43,62,61,52,73,110,643
participants,0,0,0,0,0,0,0,0,0,0,11,0,6,5,13,10,16,0,8,17,17,27,47,51,55,83,76,92,107,641
perform,0,0,0,0,0,0,0,0,0,0,5,6,12,9,16,22,17,17,31,17,21,32,49,58,52,57,73,78,69,641
decisionmaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,19,26,28,56,40,88,177,193,641
still,0,0,0,0,0,0,0,0,7,7,5,5,5,6,12,14,20,22,17,19,22,32,37,52,71,69,67,69,83,641
intelligence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,39,47,70,55,78,136,207,640
made,0,0,0,0,0,0,0,0,6,0,7,6,5,19,15,23,26,20,21,27,29,29,38,56,81,65,57,58,52,640
classification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,18,11,23,30,40,68,68,59,65,99,131,638
risky,0,10,0,0,0,0,0,0,0,0,11,9,17,20,24,17,42,37,25,42,23,34,42,44,50,48,59,43,40,637
areas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,7,11,15,9,14,28,83,85,90,69,113,97,637
gdp,0,0,0,0,0,0,0,0,0,0,0,44,0,6,0,39,19,24,32,13,13,8,19,44,79,43,73,77,103,636
characterized,0,0,5,0,6,7,5,9,12,10,16,8,18,12,19,19,24,28,35,26,19,33,26,43,40,27,43,68,77,635
datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,9,15,33,45,55,76,92,167,128,635
tasks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,54,41,95,173,218,634
generate,0,0,0,0,0,0,0,0,0,9,12,0,7,10,0,9,15,14,12,14,18,32,31,39,52,55,84,89,132,634
functional,0,0,0,0,0,0,0,6,0,8,8,8,6,17,21,18,24,31,26,34,33,30,22,48,52,41,39,88,73,633
debt,0,0,0,0,0,0,0,0,0,0,0,0,7,22,11,34,37,26,31,27,22,21,15,57,48,73,51,64,87,633
hypothesis,0,0,0,0,0,5,0,5,7,9,11,5,9,0,24,15,19,33,35,33,24,27,43,51,48,45,44,73,67,632
traded,0,0,0,12,8,6,5,9,21,18,19,7,14,16,20,17,35,41,26,36,38,34,35,31,36,41,36,35,35,631
bias,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,7,14,8,12,21,14,32,30,58,44,81,73,91,131,630
generation,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,7,17,10,14,35,29,56,73,66,70,101,136,630
assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,18,11,17,10,18,15,23,49,80,57,76,91,144,629
view,0,0,0,0,6,0,7,0,7,7,0,10,17,6,11,14,34,30,19,32,21,35,43,53,58,45,58,56,59,628
drift,0,0,0,0,0,0,0,0,0,6,9,16,14,11,20,27,20,30,34,30,33,51,53,44,34,27,49,34,85,627
discussed,0,0,0,9,8,6,5,11,10,18,16,16,16,17,20,21,25,38,30,29,24,30,41,44,47,34,41,34,37,627
help,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,12,10,8,9,18,16,23,42,72,89,90,86,77,57,627
graph,0,0,0,0,0,0,0,0,0,0,0,0,5,14,8,0,7,11,20,8,9,14,46,32,45,68,62,162,113,624
yield,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,13,12,25,18,12,15,46,69,51,44,45,64,60,120,624
principle,0,0,0,0,0,0,0,10,0,6,14,9,13,8,18,14,34,32,44,20,40,39,40,48,41,43,33,60,57,623
var,0,0,0,0,0,0,0,0,0,7,0,13,10,12,23,0,17,23,20,25,37,24,20,61,67,48,51,85,79,622
bounds,0,0,0,0,0,0,0,0,0,0,0,0,12,29,21,15,42,30,41,67,39,24,32,56,32,36,32,39,75,622
aim,0,0,0,0,0,0,0,0,7,9,5,13,0,17,11,18,26,21,25,21,29,22,39,41,51,58,73,66,70,622
fully,0,0,0,0,0,0,0,0,0,0,0,6,6,13,12,8,23,19,31,22,36,30,35,42,56,61,48,73,99,620
despite,0,0,0,0,0,0,0,0,0,0,6,0,7,7,5,0,11,13,14,19,9,21,34,44,49,56,83,103,139,620
competition,0,0,0,0,0,0,0,0,0,0,6,9,0,11,8,21,9,8,23,21,10,24,29,68,50,47,73,106,95,618
crucial,0,0,0,0,0,0,0,0,0,5,0,0,7,9,5,6,8,10,15,11,16,23,26,42,45,38,79,158,114,617
national,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,6,18,22,8,30,35,83,80,56,73,68,120,617
users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,6,7,7,43,41,115,86,113,107,72,614
currency,0,0,0,0,0,0,9,0,9,18,9,10,11,23,14,18,22,29,33,34,31,32,23,44,50,45,38,48,64,614
cash,0,0,0,0,0,0,0,0,0,0,20,8,10,24,7,19,32,25,31,32,23,25,30,42,55,76,48,38,69,614
inflation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,40,19,15,23,18,21,13,53,34,53,101,93,100,613
applying,0,0,0,0,0,0,0,0,0,0,0,8,6,6,15,12,9,21,22,18,23,29,37,62,58,59,48,79,100,612
special,0,0,0,0,0,0,9,0,8,7,7,6,5,27,13,18,40,44,26,32,35,36,35,46,60,37,38,35,48,612
economies,0,0,0,0,0,0,0,0,0,0,9,16,0,12,14,17,12,24,32,28,21,16,22,42,61,45,56,84,100,611
described,0,0,6,0,12,8,11,9,17,20,21,15,21,24,12,33,38,28,33,39,35,30,28,32,36,26,24,28,25,611
directly,0,0,0,0,0,0,0,0,0,0,7,0,0,9,9,15,24,17,22,25,25,21,31,52,65,56,61,76,95,610
aggregate,0,0,0,0,0,0,0,0,6,0,7,0,0,12,7,7,21,11,21,28,28,23,32,50,72,35,50,82,118,610
amount,0,0,0,0,0,5,7,0,9,7,11,0,13,18,24,18,17,24,18,28,29,34,39,53,61,52,60,58,25,610
investigates,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,6,9,6,11,10,17,34,31,54,56,73,122,167,610
original,0,0,0,0,0,0,0,5,7,9,14,10,13,14,21,15,15,28,25,24,29,28,52,38,42,35,50,70,65,609
opportunities,0,0,0,0,0,0,0,0,0,0,0,12,0,16,9,19,12,16,15,13,23,18,25,56,65,31,70,96,113,609
outperforms,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,7,19,35,27,45,56,57,87,108,148,607
threshold,0,0,0,0,0,0,0,0,13,8,11,15,18,12,17,24,29,16,28,15,31,37,47,54,36,25,43,45,83,607
take,0,0,0,0,0,0,0,0,0,8,8,6,10,14,14,19,24,22,22,30,25,27,50,56,69,49,59,49,44,605
country,0,0,0,0,0,0,0,0,0,0,6,0,0,6,11,7,12,19,19,34,22,25,40,65,95,59,60,48,76,604
welfare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,13,8,18,24,67,75,94,46,79,163,604
exponent,0,5,10,16,25,13,26,24,24,36,42,17,11,11,22,29,28,23,21,25,27,34,35,20,15,20,17,13,15,604
extended,0,0,0,0,0,0,0,0,5,0,9,9,11,13,16,22,19,21,27,24,22,29,43,49,45,41,61,56,81,603
regulatory,0,0,0,0,0,0,0,0,0,0,0,0,7,10,6,10,27,19,10,21,11,19,18,48,49,36,70,82,160,603
fast,0,0,0,0,0,0,0,0,0,0,7,8,10,26,28,15,19,20,26,24,36,40,49,61,52,38,45,48,50,602
path,0,0,0,0,0,10,0,0,0,6,0,12,15,19,22,16,25,29,18,22,27,26,26,38,60,45,43,57,86,602
empirically,0,0,0,0,0,0,0,0,6,7,13,8,9,10,14,12,13,17,21,24,25,26,28,43,45,60,50,58,110,599
uses,0,0,0,0,0,0,0,0,0,5,0,0,7,8,8,11,12,11,13,11,21,20,38,57,81,66,67,76,87,599
emissions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,24,11,72,69,49,80,142,143,599
transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,16,22,28,34,20,49,58,101,37,78,69,69,599
realistic,0,0,0,0,0,7,0,0,7,6,5,9,11,12,11,15,9,10,24,25,15,19,42,49,36,43,65,72,106,598
minimum,0,0,0,0,0,0,0,0,5,0,6,6,6,12,21,18,16,16,15,33,24,19,40,61,48,69,53,68,62,598
testing,0,0,0,0,0,0,0,0,0,0,9,0,0,8,10,11,8,12,9,14,20,21,54,54,73,45,59,88,102,597
regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,6,13,19,12,22,12,30,81,65,52,61,72,121,597
flows,0,0,0,0,0,0,0,0,0,0,15,7,0,18,13,26,22,14,37,16,36,19,40,45,45,54,50,45,95,597
early,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,13,14,11,15,16,29,25,35,60,57,56,70,54,105,596
family,0,0,0,0,0,0,0,0,0,0,8,9,10,8,18,20,18,26,18,22,29,25,22,60,76,44,57,57,68,595
coefficients,0,0,0,0,0,0,0,0,7,12,13,14,11,8,27,26,22,28,30,36,16,17,19,42,36,62,33,59,76,594
productivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,7,0,13,0,24,56,42,53,97,91,192,594
capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,8,17,8,13,16,37,59,77,71,56,87,129,593
probabilistic,0,0,0,0,0,0,0,0,0,0,10,5,0,11,24,19,27,21,15,23,21,29,33,41,53,39,57,75,90,593
adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,31,55,57,72,100,237,592
meanvariance,0,0,0,0,0,0,0,0,0,0,11,0,13,7,8,15,18,16,21,21,19,20,41,43,54,61,62,68,94,592
practice,0,0,0,0,0,0,0,0,0,0,0,0,9,11,16,13,31,20,16,25,23,18,33,44,59,66,62,66,80,592
services,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,16,14,18,43,70,89,53,90,87,97,591
analyzed,0,0,0,0,0,0,9,7,7,14,9,9,7,15,13,20,22,33,21,20,14,24,30,56,51,42,52,60,54,589
estimators,0,0,0,0,0,0,0,0,0,0,5,7,22,18,32,21,17,40,19,28,23,18,29,53,46,48,55,59,49,589
widely,0,0,0,0,6,0,0,0,0,5,0,7,7,10,14,8,14,20,17,16,18,26,29,75,49,58,65,68,77,589
intensity,0,0,0,0,0,0,0,0,0,0,0,19,8,9,23,18,38,22,24,26,38,26,26,28,60,34,46,65,79,589
claims,0,0,0,0,0,0,0,0,0,15,0,20,15,27,25,20,40,26,28,32,31,25,42,33,35,28,42,59,45,588
rules,0,0,0,0,0,0,5,0,0,0,6,6,8,9,12,13,8,45,28,17,36,24,34,62,59,33,60,59,64,588
domain,0,0,0,0,0,0,0,0,0,0,5,0,0,11,13,16,0,5,15,21,23,30,36,53,28,45,79,100,108,588
affect,0,0,0,0,0,0,0,0,0,6,0,0,5,7,8,10,12,5,13,12,9,15,24,51,96,76,75,76,86,586
contribution,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,12,17,17,22,19,34,29,42,47,45,60,62,63,94,586
cryptocurrencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,58,61,79,69,61,112,68,64,585
marginal,0,0,0,0,0,0,0,0,0,0,5,7,0,6,6,18,22,26,17,18,37,30,26,61,66,50,61,54,75,585
robustness,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,12,7,15,9,9,19,25,29,51,50,49,58,84,146,584
quantify,0,0,0,0,0,0,0,0,0,6,5,8,10,9,17,11,15,17,24,25,19,23,43,45,60,52,46,56,92,583
full,0,0,0,0,0,0,0,0,0,0,0,9,7,10,12,18,13,21,31,22,25,26,46,40,51,48,47,55,101,582
vector,0,0,0,0,0,0,0,0,0,0,0,8,0,10,13,0,14,25,22,38,44,36,43,46,56,39,45,72,69,580
diversification,0,0,0,0,0,0,0,0,0,0,7,0,12,0,25,14,31,25,27,25,25,46,24,43,34,48,42,69,83,580
geometric,0,0,0,0,0,0,0,0,0,13,10,11,14,10,18,12,20,30,29,33,36,28,36,47,25,47,34,68,59,580
detection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,13,8,0,12,41,38,48,69,76,129,126,579
industrial,0,0,0,0,0,0,0,8,7,0,8,6,13,11,8,11,11,20,22,18,17,19,33,55,43,40,64,80,85,579
end,0,0,0,0,0,0,5,0,0,6,8,7,13,17,8,22,19,23,11,25,24,26,37,54,60,58,51,58,47,579
agentbased,0,0,0,0,0,0,0,0,5,9,13,6,10,15,0,18,24,30,18,26,25,25,49,43,45,45,64,42,66,578
china,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,38,24,29,26,78,71,59,74,80,82,578
heston,0,0,0,0,0,0,0,0,0,0,0,0,12,20,19,29,26,33,32,31,25,49,48,32,39,27,42,47,66,577
free,0,0,0,0,0,0,0,0,0,0,27,15,15,25,19,20,31,32,47,25,18,34,30,34,50,40,26,37,51,576
sources,0,0,0,0,0,0,0,0,0,0,0,6,5,6,0,6,11,15,16,18,15,30,19,53,74,48,67,82,104,575
expectations,0,0,0,0,5,0,0,6,0,6,5,11,9,20,13,14,11,16,14,24,15,31,34,52,45,45,57,63,79,575
access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,6,18,40,46,77,61,56,110,146,574
suitable,0,0,0,0,0,0,0,0,0,6,5,12,5,12,15,15,35,17,36,22,27,32,46,38,48,41,57,57,48,574
cannot,0,0,0,0,0,0,0,0,0,5,10,7,10,9,21,14,19,29,23,28,28,23,40,57,39,44,61,54,51,572
phase,0,0,0,10,16,5,9,13,11,21,12,16,28,8,20,21,49,20,28,27,13,19,38,35,36,24,32,34,26,571
analyzing,0,0,0,0,7,0,0,0,5,0,0,0,0,6,10,7,8,11,18,10,16,19,28,42,52,35,63,117,115,569
emerging,0,0,0,0,0,0,0,6,11,11,11,0,8,7,7,14,11,8,11,24,8,27,28,33,37,40,57,87,123,569
rough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,41,44,62,52,65,74,63,57,95,569
useful,0,0,0,0,0,0,0,0,0,10,0,12,10,15,15,20,22,20,15,28,21,36,51,51,63,42,37,62,38,568
aversion,0,0,0,0,0,0,0,0,0,0,5,0,0,7,36,16,17,29,29,26,14,18,31,40,60,77,34,60,68,567
realized,0,0,0,0,0,0,0,0,0,0,0,0,14,9,8,24,20,21,12,35,35,33,37,59,37,36,48,65,73,566
weighted,0,0,0,0,0,0,0,0,0,0,10,0,14,14,22,27,14,28,42,25,24,12,37,45,43,32,42,62,73,566
technologies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,7,16,11,39,56,91,52,69,98,109,566
approximate,0,0,0,0,0,0,0,0,0,0,0,10,12,16,8,15,25,22,32,23,22,33,44,42,41,51,48,62,59,565
weak,0,0,0,0,0,0,0,0,7,0,6,11,18,13,16,23,25,27,17,23,23,36,28,53,36,60,43,44,56,565
exposure,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,11,16,10,19,28,12,23,55,62,38,73,77,124,565
generative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,28,37,33,112,153,170,565
reduced,0,0,0,0,0,0,0,0,0,0,0,0,11,11,8,9,11,11,19,22,14,21,35,47,55,57,59,75,99,564
fractional,0,0,0,0,0,0,0,0,0,0,11,16,0,15,15,21,15,17,24,43,77,33,28,44,33,41,46,45,40,564
sensitivity,0,0,0,0,0,0,0,0,0,9,5,0,0,0,11,14,10,11,23,14,25,22,45,39,61,47,45,67,114,562
intraday,0,0,0,0,0,0,0,9,0,11,9,9,12,13,18,9,19,19,27,14,14,46,34,53,45,44,33,46,76,560
aims,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,12,8,0,11,15,0,30,30,47,54,62,97,110,70,560
food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,25,0,0,54,80,37,63,39,100,140,559
developing,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,5,17,12,15,10,15,37,52,73,49,63,95,99,559
premium,0,0,0,0,0,0,0,0,0,0,8,0,0,17,23,22,13,28,13,22,21,24,40,57,46,32,38,68,86,558
derivative,0,0,8,0,0,0,0,0,8,0,9,8,9,29,22,26,20,28,19,18,33,44,43,35,33,40,43,41,42,558
designed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,6,6,13,8,21,25,27,39,54,83,119,139,558
finding,0,0,0,0,0,0,0,0,5,0,9,8,0,7,13,11,16,21,27,25,30,16,27,43,61,42,61,75,60,557
fact,0,0,0,0,7,0,9,6,8,7,6,12,9,20,17,15,27,28,25,25,38,34,33,33,36,43,40,40,39,557
version,0,0,0,0,0,0,0,0,5,0,9,10,7,22,25,20,25,27,32,21,30,30,33,36,45,33,49,52,45,556
proposes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,13,12,11,10,26,42,42,63,53,54,108,102,556
estimating,0,0,0,0,0,0,0,0,0,0,5,11,7,9,13,14,16,22,25,11,12,40,34,47,59,49,50,63,69,556
examines,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,5,0,6,10,10,15,20,30,52,44,60,114,166,555
beyond,0,0,0,0,0,0,0,0,6,0,0,0,0,8,6,8,12,11,17,15,22,26,30,41,46,30,60,73,144,555
remains,0,0,0,0,0,0,0,5,0,5,0,0,6,6,5,0,5,7,11,15,9,15,22,35,32,43,56,79,198,554
contract,0,0,0,0,0,0,0,0,0,0,8,0,0,13,11,11,23,37,29,17,28,38,44,36,39,55,48,44,73,554
corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,13,14,27,24,30,43,47,44,79,82,131,554
explicitly,0,0,0,0,0,0,0,0,7,10,5,0,7,22,17,27,24,37,22,29,20,35,33,43,30,37,40,35,73,553
systematic,0,0,0,0,0,0,0,0,0,0,8,0,0,20,15,0,15,11,10,12,22,27,18,46,34,48,70,67,129,552
heterogeneity,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,6,10,0,10,22,13,17,29,48,68,55,65,75,117,551
issue,0,0,0,0,0,0,0,0,0,0,6,0,0,6,17,13,16,19,18,17,21,25,40,50,59,55,52,75,62,551
issues,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,12,17,13,15,25,11,18,28,48,80,49,71,77,64,550
must,0,0,0,5,0,0,0,0,0,7,5,0,11,10,9,13,19,19,23,20,21,20,32,41,54,45,50,68,78,550
understand,0,0,0,0,0,0,0,0,0,7,0,0,5,12,14,17,15,16,11,13,14,36,32,59,80,44,71,62,42,550
challenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,6,14,24,33,34,56,45,66,110,149,549
reveals,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,8,12,9,13,10,20,21,32,34,44,60,100,168,548
highlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,7,5,15,6,14,20,31,41,32,42,121,195,548
instead,0,0,0,0,0,0,0,0,0,0,6,6,14,6,15,8,18,17,30,25,28,25,29,54,55,45,50,68,48,547
output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,16,18,17,19,18,35,46,55,34,69,75,124,546
dependent,0,0,0,0,0,7,0,6,5,11,8,7,24,19,23,13,23,25,32,23,19,24,24,52,52,35,27,49,38,546
curve,0,0,0,0,0,0,0,0,0,0,0,0,9,15,9,16,26,18,26,24,33,45,40,48,43,33,59,41,60,545
step,0,0,0,0,0,0,6,0,0,10,0,8,0,8,14,11,23,23,12,20,17,23,26,67,54,37,64,53,69,545
sufficient,0,0,0,0,0,0,0,5,0,0,6,10,12,17,18,16,22,27,27,26,19,39,35,49,37,56,40,33,51,545
banking,0,0,0,0,0,0,0,0,0,0,0,0,11,0,19,17,23,36,18,19,28,32,19,56,40,39,54,53,80,544
covariance,0,0,0,0,0,0,0,0,0,8,0,0,0,26,18,15,21,23,28,42,15,28,29,37,52,28,54,59,60,543
formulas,0,0,0,0,0,8,0,0,0,0,7,14,27,27,17,19,24,37,24,26,25,34,39,24,50,47,32,32,30,543
additionally,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,9,8,11,6,6,11,15,21,17,33,35,91,153,115,543
scales,0,0,10,11,0,5,14,12,21,27,16,13,10,24,13,11,9,20,30,13,19,18,38,26,40,24,27,33,58,542
makes,0,0,0,0,0,0,0,0,0,7,5,11,7,12,16,11,17,18,15,15,25,30,48,57,55,45,42,62,44,542
complete,0,0,0,0,0,0,0,0,0,0,9,16,9,22,16,35,21,19,36,20,12,40,31,43,33,37,38,43,61,541
coefficient,0,0,0,0,0,0,0,0,0,14,17,20,9,10,27,15,29,33,22,25,13,29,33,34,43,30,36,46,56,541
popular,0,0,0,0,0,0,0,0,0,0,6,8,12,0,14,17,14,26,18,20,14,32,49,58,50,56,63,36,47,540
introduces,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,7,8,8,9,17,24,30,29,37,62,131,164,540
sustainable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,6,26,45,56,42,80,131,137,540
relation,0,0,0,0,0,0,6,0,12,16,12,14,6,27,20,22,32,24,24,26,25,25,46,32,43,33,36,24,34,539
funds,0,0,0,0,0,0,0,0,0,0,0,0,18,0,24,9,11,0,24,16,22,29,25,52,43,66,55,66,79,539
boundary,0,0,0,0,0,0,0,0,0,0,16,0,17,22,26,25,18,26,30,34,26,33,23,46,32,53,26,45,40,538
greater,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,11,6,17,21,18,16,16,31,49,42,58,51,63,126,538
yields,0,0,0,0,0,0,10,0,0,0,5,6,6,13,22,15,8,17,14,21,19,21,31,44,37,39,41,53,116,538
building,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,9,12,11,29,19,15,22,40,50,42,69,87,120,537
decentralized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31,58,92,100,115,131,537
oil,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,18,16,23,32,44,13,60,20,85,39,73,35,34,20,536
hybrid,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10,15,21,21,25,50,51,50,55,68,157,535
experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,18,24,50,76,68,73,86,122,533
equilibria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,14,37,21,23,34,48,45,56,38,46,54,89,533
substantial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,8,13,8,9,21,16,36,48,53,65,97,141,533
behavioral,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,6,7,10,0,11,27,26,42,53,51,58,40,61,122,530
investments,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,7,17,5,14,13,16,25,35,38,51,52,77,81,82,530
constraint,0,0,0,0,0,0,0,0,0,0,0,0,6,16,15,23,23,18,21,34,27,21,41,43,47,45,35,43,70,528
effectively,0,0,0,0,0,0,0,0,0,0,0,6,6,5,0,0,0,10,0,7,9,13,25,35,32,49,61,136,134,528
combination,0,0,0,0,0,0,0,0,0,0,5,7,9,7,9,13,11,19,19,15,22,23,41,56,46,53,54,74,45,528
benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,19,14,10,25,21,22,58,65,69,57,73,73,528
interaction,0,0,0,0,0,0,0,0,0,8,16,5,9,9,8,18,15,28,20,19,15,23,38,23,48,33,51,60,82,528
ones,0,0,0,0,0,0,0,0,0,7,8,7,6,11,11,20,15,14,32,20,16,30,42,42,49,46,54,52,45,527
people,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,12,0,18,21,40,78,97,62,54,68,54,526
makers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,9,21,8,11,7,16,40,56,58,61,58,72,79,524
along,0,0,0,0,0,0,0,0,0,0,0,7,5,10,11,11,11,10,18,8,23,25,38,41,57,45,56,68,80,524
powerlaw,0,0,12,0,9,12,27,38,23,38,22,21,20,23,14,19,25,21,16,18,21,29,8,11,19,20,26,11,21,524
inference,0,0,0,0,0,0,0,0,0,0,0,0,20,10,17,9,20,10,21,19,21,19,51,35,49,45,39,50,89,524
scenario,0,0,0,0,5,0,0,0,0,0,0,5,29,7,15,8,9,0,14,0,14,15,23,52,56,50,66,73,81,522
maximization,0,0,0,0,0,0,0,0,0,11,10,9,14,19,33,22,25,22,28,38,22,38,34,29,25,36,37,41,29,522
decomposition,0,0,0,0,0,0,0,0,0,7,0,0,8,15,6,17,16,21,32,36,32,24,41,51,53,34,27,34,68,522
extensive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,13,12,23,16,16,27,41,45,43,71,102,97,522
schemes,0,0,0,0,0,0,0,0,0,0,0,0,9,24,23,27,9,28,22,18,20,22,33,39,41,57,38,47,64,521
signals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,15,14,15,30,20,34,46,34,56,73,148,521
conventional,0,0,0,0,0,0,0,0,0,0,5,0,6,6,0,0,7,11,12,14,19,28,28,52,37,39,52,92,112,520
probabilities,0,0,0,0,0,0,0,0,0,13,0,9,18,10,30,30,17,16,24,31,30,35,33,34,32,14,37,46,61,520
namely,0,0,0,0,0,0,0,0,6,8,5,8,9,12,17,17,19,23,25,26,27,26,44,47,47,48,37,42,27,520
constructed,0,0,0,0,0,0,0,0,0,0,10,15,13,14,18,19,17,26,23,12,18,29,36,41,37,36,47,49,60,520
terminal,0,0,0,0,0,0,0,0,0,7,15,16,11,15,10,22,41,27,17,23,26,32,43,35,39,37,27,33,43,519
rule,0,0,0,0,0,0,0,0,0,0,7,0,6,16,8,8,11,33,23,22,15,34,38,26,35,44,64,63,66,519
competitive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,22,17,17,24,43,44,45,31,55,91,109,519
prior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,8,15,18,29,25,30,50,50,42,49,67,105,517
requires,0,0,0,0,0,0,0,0,0,0,5,5,0,11,5,10,17,13,18,19,22,17,31,44,57,40,46,61,96,517
education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,53,102,64,66,78,123,517
analyses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,7,15,17,13,16,16,27,39,59,45,67,66,111,516
consumer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,11,0,10,10,15,10,32,35,56,45,47,91,138,516
